Year,Ratio
2025,171
2026,167
2027,165
2028,163
2029,161
2030,159
2031,158
2032,156
2033,155
2034,153
2035,152
2036,151
2037,149
2038,147
2039,144
2040,141
2041,138
2042,134
2043,130
2044,125
2045,121
2046,116
2047,110
2048,104
2049,98
2050,92
2051,85
2052,77
2053,69
2054,61
2055,52
2056,42
2057,32
2058,22
2059,11
2060,—
2061,—
2062,—
2063,—
2064,—
2065,—
2066,—
2067,—
2068,—
2069,—
2070,—
2071,—
2072,—
2073,—
2074,—
2075,—
2076,—
2077,—
2078,—
2079,—
2080,—
2081,—
2082,—
2083,—
2084,—
2085,—
2086,—
2087,—
2088,—
2089,—
2090,—
2091,—
2092,—
2093,—
2094,—
2095,—
2096,—
2097,—
2098,—
2099,—
