Year,Ratio
2025,171
2026,173
2027,176
2028,180
2029,183
2030,187
2031,190
2032,194
2033,199
2034,203
2035,209
2036,214
2037,219
2038,223
2039,228
2040,232
2041,236
2042,240
2043,245
2044,249
2045,252
2046,256
2047,260
2048,263
2049,267
2050,269
2051,272
2052,274
2053,276
2054,278
2055,279
2056,280
2057,280
2058,279
2059,279
2060,278
2061,276
2062,274
2063,273
2064,270
2065,268
2066,265
2067,262
2068,258
2069,254
2070,250
2071,246
2072,241
2073,236
2074,231
2075,225
2076,220
2077,214
2078,208
2079,202
2080,196
2081,190
2082,184
2083,178
2084,172
2085,167
2086,161
2087,156
2088,151
2089,147
2090,142
2091,138
2092,133
2093,129
2094,125
2095,121
2096,117
2097,112
2098,108
2099,103
