End of Month,Retired_Worker_Total_Amount,Retired_Worker_Total_Average_Amount,Retired_Worker_Male_Number,Retired_Worker_Male_Average_Amount,Retired_Worker_Male_Female_Number,Retired_Worker_Female_Average_Amount,Spouse_of_Retired_Worker_Total_Number,Spouse_of_Retired_Worker_Total_Average_Amount,Spouse_of_Retired_Worker_Male_Number,Spouse_of_Retired_Worker_Male_Average_Amount,Spouse_of_Retired_Worker_Female_Number,Spouse_of_Retired_Worker_Female_Average_Amount,Child_Of_Retired_Worker_Total_Number,Child_Of_Retired_Worker_Total_Average_Amount,Child_Of_Retired_Worker_Minor_Number,Child_Of_Retired_Worker_Minor_Average_Amount,Child_Of_Retired_Worker_Disabled_Number,Child_Of_Retired_Worker_Disabled_Average_Amount,Child_Of_Retired_Worker_Student_Number,Child_Of_Retired_Worker_Student_Average_Amount,Child_Of_Deceased_Worker_Total_Number,Child_Of_Deceased_Worker_Total_Average_Amount,Child_Of_Deceased_Worker_Minor_Number,Child_Of_Deceased_Worker_Minor_Average_Amount,Child_Of_Deceased_Worker_Disabled_Number,Child_Of_Deceased_Worker_Disabled_Average_Amount,Child_Of_Deceased_Worker_Student_Number,Child_Of_Deceased_Worker_Student_Average_Amount,Child_Of_Aged_Widower_Total_Number,Child_Of_Aged_Widower_Total_Average_Amount,Child_Of_Aged_Widower_Male_Number,Child_Of_Aged_Widower_Male_Average_Amount,Child_Of_Aged_Widower_Female_Number,Child_Of_Aged_Widower_Female_Average_Amount,Child_Of_Young_Widower_With_Child_In_Care_Total_Number,Child_Of_Young_Widower_With_Child_In_Care_Total_Average_Amount,Child_Of_Young_Widower_With_Child_In_Care_Male_Number,Child_Of_Young_Widower_With_Child_In_Care_Male_Average_Amount,Child_Of_Young_Widower_With_Child_In_Care_Female_Number,Child_Of_Young_Widower_With_Child_In_Care_Female_Average_Amount,Child_Of_Disabled_Widower_Total_Number,Child_Of_Disabled_Widower_Total_Average_Amount,Child_Of_Disabled_Widower_Male_Number,Child_Of_Disabled_Widower_Male_Average_Amount,Child_Of_Disabled_Widower_Female_Number,Child_Of_Disabled_Widower_Female_Average_Amount,Child_Of_Parent_Of_Deceased_Worker_Total_Number,Child_Of_Parent_Of_Deceased_Worker_Total_Average_Amount,Child_Of_Parent_Of_Deceased_Worker_Male_Number,Child_Of_Parent_Of_Deceased_Worker_Male_Average_Amount,Child_Of_Parent_Of_Deceased_Worker_Female_Number,Child_Of_Parent_Of_Deceased_Worker_Female_Average_Amount,Child_Of_Disabled_Worker_Total_Number,Child_Of_Disabled_Worker_Total_Average_Amount,Child_Of_Disabled_Worker_Male_Number,Child_Of_Disabled_Worker_Male_Average_Amount,Child_Of_Disabled_Worker_Female_Number,Child_Of_Disabled_Worker_Female_Average_Amount,Spouse_Of_Disabled_Worker_Total_Number,Spouse_Of_Disabled_Worker_Total_Average_Amount,Spouse_Of_Disabled_Worker_Male_Number,Spouse_Of_Disabled_Worker_Male_Average_Amount,Spouse_Of_Disabled_Worker_Female_Number,Spouse_Of_Disabled_Worker_Female_Average_Amount,Child_Of_Disabled_Worker_Total_Number,Child_Of_Disabled_Worker_Total_Average_Amount,Child_Of_Disabled_Worker_Minor_Number,Child_Of_Disabled_Worker_Minor_Average_Amount,Child_Of_Disabled_Worker_Disabled_Number,Child_Of_Disabled_Worker_Disabled_Average_Amount,Child_Of_Disabled_Worker_Student_Number,Child_Of_Disabled_Worker_Student_Average_Amount,,,,,,,,,,,
Jan-67,"11,713,055",$84.55 ,"7,062,629",$93.49 ,"4,650,426",$70.98 ,"2,641,331",$43.90 ,"11,407",$42.08 ,"2,629,924",$43.91 ,"511,418",$32.82 ,"351,285",$28.26 ,"91,162",$41.06 ,"68,971",$45.16 ,"2,230,199",$61.89 ,"1,846,340",$60.40 ,"113,045",$62.64 ,"270,814",$71.73 ,"2,615,528",$74.16 ,"5,078",$73.74 ,"2,610,450",$74.16 ,"486,587",$65.63 ,0,0,"486,587",$65.63 ,0,0,0,0,0,0,"34,421",$76.53 ,"2,198",$68.02 ,"32,223",$77.10 ,"1,111,111",$98.16 ,"817,811",$102.70 ,"293,300",$85.47 ,"221,195",$34.54 ,526,$31.78 ,"220,669",$34.54 ,"659,686",$31.38 ,"605,746",$30.31 ,"10,252",$41.17 ,"43,688",$43.93 ,,,,,,,,,,,
Feb-67,"11,730,905",$84.67 ,"7,071,093",$93.63 ,"4,659,812",$71.08 ,"2,639,607",$43.94 ,"10,137",$42.45 ,"2,629,470",$43.95 ,"510,822",$33.02 ,"348,543",$28.41 ,"91,417",$41.14 ,"70,862",$45.22 ,"2,243,773",$61.91 ,"1,852,081",$60.41 ,"113,938",$62.71 ,"277,754",$71.64 ,"2,629,122",$74.21 ,"2,794",$70.64 ,"2,626,328",$74.21 ,"487,536",$65.58 ,0,0,"487,536",$65.58 ,0,0,0,0,0,0,"34,318",$76.54 ,"2,173",$67.94 ,"32,145",$77.12 ,"1,111,285",$98.12 ,"817,343",$102.67 ,"293,942",$85.47 ,"222,004",$34.45 ,508,$31.83 ,"221,496",$34.46 ,"663,373",$31.37 ,"607,712",$30.28 ,"10,318",$41.22 ,"45,343",$43.72 ,,,,,,,,,,,
Mar-67,"11,651,066",$84.70 ,"7,008,957",$93.69 ,"4,642,109",$71.13 ,"2,606,117",$43.94 ,"9,922",$42.56 ,"2,596,195",$43.94 ,"511,461",$33.09 ,"347,506",$28.44 ,"91,057",$41.20 ,"72,898",$45.10 ,"2,263,785",$61.97 ,"1,863,337",$60.45 ,"115,096",$62.75 ,"285,352",$71.61 ,"2,645,827",$74.27 ,"2,818",$70.59 ,"2,643,009",$74.27 ,"489,941",$65.53 ,0,0,"489,941",$65.53 ,0,0,0,0,0,0,"34,281",$76.58 ,"2,150",$68.00 ,"32,131",$77.16 ,"1,120,389",$98.16 ,"823,790",$102.72 ,"296,599",$85.49 ,"223,670",$34.35 ,501,$31.29 ,"223,169",$34.36 ,"672,768",$31.34 ,"614,285",$30.22 ,"10,459",$41.13 ,"48,024",$43.51 ,,,,,,,,,,,
Apr-67,"11,705,026",$84.80 ,"7,043,619",$93.82 ,"4,661,407",$71.16 ,"2,625,954",$43.99 ,"9,940",$42.54 ,"2,616,014",$44.00 ,"511,669",$33.14 ,"345,984",$28.45 ,"91,301",$41.26 ,"74,384",$44.99 ,"2,277,992",$62.04 ,"1,870,045",$60.49 ,"115,935",$62.82 ,"292,012",$71.60 ,"2,656,443",$74.32 ,"2,824",$70.70 ,"2,653,619",$74.32 ,"487,021",$65.38 ,0,0,"487,021",$65.38 ,0,0,0,0,0,0,"34,157",$76.64 ,"2,132",$68.09 ,"32,025",$77.20 ,"1,124,318",$98.16 ,"825,559",$102.74 ,"298,759",$85.49 ,"222,890",$34.29 ,503,$31.53 ,"222,387",$34.30 ,"674,502",$31.35 ,"614,701",$30.21 ,"10,593",$41.08 ,"49,208",$43.50 ,,,,,,,,,,,
May-67,"11,659,549",$84.88 ,"7,010,336",$93.92 ,"4,649,213",$71.26 ,"2,605,526",$44.03 ,"9,780",$42.62 ,"2,595,746",$44.04 ,"514,788",$33.15 ,"346,847",$28.42 ,"91,320",$41.30 ,"76,621",$44.84 ,"2,306,098",$62.05 ,"1,886,973",$60.48 ,"117,020",$62.85 ,"302,105",$71.50 ,"2,671,154",$74.38 ,"2,813",$70.84 ,"2,668,341",$74.38 ,"489,096",$65.29 ,0,0,"489,096",$65.29 ,0,0,0,0,0,0,"34,112",$76.72 ,"2,118",$68.10 ,"31,994",$77.30 ,"1,134,226",$98.19 ,"832,442",$102.79 ,"301,784",$85.52 ,"225,231",$34.20 ,505,$31.31 ,"224,726",$34.21 ,"685,786",$31.33 ,"622,867",$30.16 ,"10,718",$41.00 ,"52,201",$43.30 ,,,,,,,,,,,
Jun-67,"11,745,225",$84.97 ,"7,048,693",$94.03 ,"4,696,532",$71.36 ,"2,618,545",$44.10 ,"9,829",$42.64 ,"2,608,716",$44.10 ,"517,274",$33.17 ,"347,132",$28.38 ,"91,700",$41.35 ,"78,442",$44.77 ,"2,328,268",$62.10 ,"1,899,308",$60.52 ,"118,284",$62.89 ,"310,676",$71.49 ,"2,686,035",$74.44 ,"2,825",$70.92 ,"2,683,210",$74.44 ,"489,507",$65.30 ,0,0,"489,507",$65.30 ,0,0,0,0,0,0,"34,040",$76.80 ,"2,095",$68.25 ,"31,945",$77.36 ,"1,141,447",$98.22 ,"837,159",$102.82 ,"304,288",$85.55 ,"226,116",$34.18 ,508,$31.44 ,"225,608",$34.19 ,"692,413",$31.33 ,"627,590",$30.14 ,"10,824",$40.93 ,"53,999",$43.25 ,,,,,,,,,,,
Jul-67,"11,819,998",$85.06 ,"7,081,819",$94.12 ,"4,738,179",$71.53 ,"2,632,835",$44.14 ,"9,844",$42.65 ,"2,622,991",$44.14 ,"511,892",$33.17 ,"345,371",$28.42 ,"92,172",$41.40 ,"74,349",$45.07 ,"2,317,250",$62.17 ,"1,898,841",$60.61 ,"119,346",$62.95 ,"299,063",$71.72 ,"2,700,453",$74.51 ,"2,832",$70.93 ,"2,697,621",$74.52 ,"487,511",$65.44 ,0,0,"487,511",$65.44 ,0,0,0,0,0,0,"33,894",$76.87 ,"2,084",$68.35 ,"31,810",$77.43 ,"1,145,663",$98.24 ,"839,109",$102.86 ,"306,554",$85.57 ,"225,704",$34.22 ,512,$31.82 ,"225,192",$34.22 ,"689,428",$31.33 ,"627,236",$30.18 ,"10,864",$41.01 ,"51,328",$43.37 ,,,,,,,,,,,
Aug-67,"11,863,800",$85.11 ,"7,096,011",$94.15 ,"4,767,789",$71.65 ,"2,636,429",$44.14 ,"9,836",$42.68 ,"2,626,593",$44.15 ,"510,144",$33.15 ,"345,533",$28.43 ,"92,476",$41.43 ,"72,135",$45.15 ,"2,315,702",$62.21 ,"1,903,759",$60.69 ,"120,323",$63.01 ,"291,620",$71.79 ,"2,717,164",$74.59 ,"2,826",$71.02 ,"2,714,338",$74.60 ,"488,859",$65.62 ,0,0,"488,859",$65.62 ,0,0,0,0,0,0,"33,823",$76.92 ,"2,077",$68.24 ,"31,746",$77.48 ,"1,152,861",$98.27 ,"843,881",$102.91 ,"308,980",$85.59 ,"225,993",$34.25 ,506,$31.79 ,"225,487",$34.26 ,"690,488",$31.33 ,"629,303",$30.20 ,"10,975",$41.09 ,"50,210",$43.30 ,,,,,,,,,,,
Sep-67,"11,886,549",$85.20 ,"7,099,118",$94.27 ,"4,787,431",$71.75 ,"2,633,994",$44.19 ,"9,807",$42.74 ,"2,624,187",$44.19 ,"507,232",$33.20 ,"344,602",$28.48 ,"92,545",$41.54 ,"70,085",$45.40 ,"2,313,348",$62.30 ,"1,905,651",$60.79 ,"121,300",$63.09 ,"286,397",$72.06 ,"2,724,664",$74.63 ,"2,813",$71.06 ,"2,721,851",$74.64 ,"489,379",$65.72 ,0,0,"489,379",$65.72 ,0,0,0,0,0,0,"33,707",$76.94 ,"2,070",$68.57 ,"31,637",$77.49 ,"1,164,903",$98.32 ,"852,674",$102.97 ,"312,229",$85.61 ,"227,794",$34.26 ,497,$31.58 ,"227,297",$34.26 ,"692,089",$31.33 ,"632,551",$30.23 ,"11,207",$41.02 ,"48,331",$43.44 ,,,,,,,,,,,
Oct-67,"11,929,226",$85.25 ,"7,120,098",$94.35 ,"4,809,128",$71.79 ,"2,637,595",$44.21 ,"9,748",$42.78 ,"2,627,847",$44.21 ,"506,221",$33.23 ,"345,128",$28.51 ,"92,856",$41.59 ,"68,237",$45.68 ,"2,308,565",$62.34 ,"1,907,589",$60.84 ,"121,563",$63.07 ,"279,413",$72.30 ,"2,695,418",$74.58 ,"2,778",$70.79 ,"2,692,640",$74.59 ,"488,030",$65.66 ,0,0,"488,030",$65.66 ,0,0,0,0,0,0,"33,376",$76.89 ,"2,040",$68.37 ,"31,336",$77.44 ,"1,173,719",$98.36 ,"858,874",$103.03 ,"314,845",$85.63 ,"230,097",$34.25 ,513,$30.85 ,"229,584",$34.26 ,"696,230",$31.33 ,"638,168",$30.25 ,"11,361",$41.12 ,"46,701",$43.67 ,,,,,,,,,,,
