Year,Cost Rate,Income Rate,Annual Balance
2005,11.13,12.72,1.59
2006,11.0,12.73,1.73
2007,10.93,12.74,1.82
2008,10.95,12.78,1.84
2009,11.06,12.77,1.71
2010,11.17,12.79,1.62
2011,11.32,12.84,1.52
2012,11.55,12.87,1.32
2013,11.79,12.9,1.11
2014,12.05,12.91,0.86
2015,12.31,12.93,0.62
2016,12.59,12.95,0.36
2017,12.88,12.97,0.09
2018,13.17,12.98,-0.19
2019,13.46,13.0,-0.46
2020,13.77,13.02,-0.75
2021,14.07,13.04,-1.03
2022,14.36,13.06,-1.3
2023,14.65,13.07,-1.57
2024,14.93,13.09,-1.84
2025,15.21,13.11,-2.1
2026,15.48,13.12,-2.36
2027,15.73,13.14,-2.59
2028,15.96,13.15,-2.8
2029,16.15,13.17,-2.99
2030,16.34,13.18,-3.16
2031,16.51,13.19,-3.31
2032,16.65,13.2,-3.45
2033,16.76,13.21,-3.55
2034,16.85,13.22,-3.63
2035,16.92,13.22,-3.7
2036,16.97,13.23,-3.74
2037,17.01,13.23,-3.78
2038,17.03,13.24,-3.79
2039,17.03,13.24,-3.79
2040,17.03,13.24,-3.8
2041,17.04,13.24,-3.8
2042,17.04,13.24,-3.8
2043,17.04,13.24,-3.8
2044,17.05,13.24,-3.81
2045,17.06,13.25,-3.82
2046,17.08,13.25,-3.83
2047,17.09,13.25,-3.84
2048,17.11,13.25,-3.86
2049,17.14,13.25,-3.88
2050,17.17,13.26,-3.91
2051,17.21,13.26,-3.95
2052,17.25,13.26,-3.98
2053,17.29,13.27,-4.02
2054,17.33,13.27,-4.06
2055,17.38,13.27,-4.11
2056,17.43,13.28,-4.16
2057,17.48,13.28,-4.2
2058,17.53,13.28,-4.25
2059,17.58,13.29,-4.3
2060,17.64,13.29,-4.34
2061,17.69,13.29,-4.4
2062,17.75,13.3,-4.45
2063,17.81,13.3,-4.51
2064,17.86,13.3,-4.56
2065,17.92,13.31,-4.61
2066,17.98,13.31,-4.66
2067,18.03,13.32,-4.71
2068,18.08,13.32,-4.76
2069,18.12,13.32,-4.8
2070,18.17,13.32,-4.84
2071,18.21,13.33,-4.88
2072,18.25,13.33,-4.92
2073,18.29,13.33,-4.96
2074,18.33,13.33,-5.0
2075,18.38,13.34,-5.04
2076,18.42,13.34,-5.08
2077,18.46,13.34,-5.12
2078,18.5,13.34,-5.16
2079,18.55,13.35,-5.2
