STATE, AGE  ,SEX,RECIPIENTS
AK   ,  <05 ,F  ,        84
AK   ,  <05 ,M  ,       128
AK   , 05-12,F  ,       196
AK   , 05-12,M  ,       407
AK   , 13-17,F  ,       154
AK   , 13-17,M  ,       270
AK   , 18-21,F  ,       242
AK   , 18-21,M  ,       388
AK   , 22-25,F  ,       270
AK   , 22-25,M  ,       359
AK   , 26-29,F  ,       226
AK   , 26-29,M  ,       317
AK   , 30-39,F  ,       523
AK   , 30-39,M  ,       497
AK   , 40-49,F  ,       994
AK   , 40-49,M  ,       668
AK   , 50-59,F  ,      1425
AK   , 50-59,M  ,      1109
AK   , 60-64,F  ,       534
AK   , 60-64,M  ,       420
AK   , 65-69,F  ,       502
AK   , 65-69,M  ,       314
AK   , 70-74,F  ,       428
AK   , 70-74,M  ,       293
AK   , 75+  ,F  ,      1028
AK   , 75+  ,M  ,       466
AL   ,  <05 ,F  ,      1994
AL   ,  <05 ,M  ,      2552
AL   , 05-12,F  ,      5106
AL   , 05-12,M  ,      9737
AL   , 13-17,F  ,      3569
AL   , 13-17,M  ,      7087
AL   , 18-21,F  ,      3286
AL   , 18-21,M  ,      4912
AL   , 22-25,F  ,      3014
AL   , 22-25,M  ,      3859
AL   , 26-29,F  ,      3203
AL   , 26-29,M  ,      3454
AL   , 30-39,F  ,     10206
AL   , 30-39,M  ,      7984
AL   , 40-49,F  ,     15911
AL   , 40-49,M  ,      9546
AL   , 50-59,F  ,     20686
AL   , 50-59,M  ,     13205
AL   , 60-64,F  ,      8308
AL   , 60-64,M  ,      4664
AL   , 65-69,F  ,      6062
AL   , 65-69,M  ,      3085
AL   , 70-74,F  ,      4672
AL   , 70-74,M  ,      2085
AL   , 75+  ,F  ,     11421
AL   , 75+  ,M  ,      2612
AR   ,  <05 ,F  ,      1857
AR   ,  <05 ,M  ,      2896
AR   , 05-12,F  ,      4764
AR   , 05-12,M  ,     10024
AR   , 13-17,F  ,      2550
AR   , 13-17,M  ,      4918
AR   , 18-21,F  ,      2241
AR   , 18-21,M  ,      3162
AR   , 22-25,F  ,      2122
AR   , 22-25,M  ,      2439
AR   , 26-29,F  ,      2226
AR   , 26-29,M  ,      2207
AR   , 30-39,F  ,      6143
AR   , 30-39,M  ,      4819
AR   , 40-49,F  ,      8894
AR   , 40-49,M  ,      5581
AR   , 50-59,F  ,     10575
AR   , 50-59,M  ,      6971
AR   , 60-64,F  ,      4226
AR   , 60-64,M  ,      2169
AR   , 65-69,F  ,      3124
AR   , 65-69,M  ,      1476
AR   , 70-74,F  ,      2445
AR   , 70-74,M  ,      1041
AR   , 75+  ,F  ,      6245
AR   , 75+  ,M  ,      1630
AZ   ,  <05 ,F  ,      1376
AZ   ,  <05 ,M  ,      1858
AZ   , 05-12,F  ,      3534
AZ   , 05-12,M  ,      7147
AZ   , 13-17,F  ,      2154
AZ   , 13-17,M  ,      4457
AZ   , 18-21,F  ,      2220
AZ   , 18-21,M  ,      3479
AZ   , 22-25,F  ,      2199
AZ   , 22-25,M  ,      2793
AZ   , 26-29,F  ,      2013
AZ   , 26-29,M  ,      2354
AZ   , 30-39,F  ,      5045
AZ   , 30-39,M  ,      4420
AZ   , 40-49,F  ,      7776
AZ   , 40-49,M  ,      5615
AZ   , 50-59,F  ,     10646
AZ   , 50-59,M  ,      7389
AZ   , 60-64,F  ,      4538
AZ   , 60-64,M  ,      2848
AZ   , 65-69,F  ,      4604
AZ   , 65-69,M  ,      2685
AZ   , 70-74,F  ,      4121
AZ   , 70-74,M  ,      2280
AZ   , 75+  ,F  ,      8516
AZ   , 75+  ,M  ,      3810
CA   ,  <05 ,F  ,      7821
CA   ,  <05 ,M  ,     11087
CA   , 05-12,F  ,     17791
CA   , 05-12,M  ,     36903
CA   , 13-17,F  ,     12586
CA   , 13-17,M  ,     25018
CA   , 18-21,F  ,     14405
CA   , 18-21,M  ,     22833
CA   , 22-25,F  ,     15309
CA   , 22-25,M  ,     21203
CA   , 26-29,F  ,     15167
CA   , 26-29,M  ,     19455
CA   , 30-39,F  ,     37125
CA   , 30-39,M  ,     41180
CA   , 40-49,F  ,     65647
CA   , 40-49,M  ,     61346
CA   , 50-59,F  ,    110472
CA   , 50-59,M  ,     90358
CA   , 60-64,F  ,     58603
CA   , 60-64,M  ,     40006
CA   , 65-69,F  ,     77797
CA   , 65-69,M  ,     49479
CA   , 70-74,F  ,     79983
CA   , 70-74,M  ,     49676
CA   , 75+  ,F  ,    186886
CA   , 75+  ,M  ,    100987
CO   ,  <05 ,F  ,       904
CO   ,  <05 ,M  ,      1114
CO   , 05-12,F  ,      1425
CO   , 05-12,M  ,      2773
CO   , 13-17,F  ,       866
CO   , 13-17,M  ,      1578
CO   , 18-21,F  ,      1339
CO   , 18-21,M  ,      1879
CO   , 22-25,F  ,      1392
CO   , 22-25,M  ,      1779
CO   , 26-29,F  ,      1303
CO   , 26-29,M  ,      1520
CO   , 30-39,F  ,      3231
CO   , 30-39,M  ,      2870
CO   , 40-49,F  ,      5125
CO   , 40-49,M  ,      3575
CO   , 50-59,F  ,      7487
CO   , 50-59,M  ,      5204
CO   , 60-64,F  ,      3180
CO   , 60-64,M  ,      1791
CO   , 65-69,F  ,      2758
CO   , 65-69,M  ,      1494
CO   , 70-74,F  ,      2426
