SSA REGION   ,DIAG. GROUP,AGE  ,SEX,RECIPIENTS
Atlanta      ,AUTISTIC   , <18 ,F  ,      3307
Atlanta      ,AUTISTIC   , <18 ,M  ,     13578
Atlanta      ,AUTISTIC   ,18-39,F  ,      1588
Atlanta      ,AUTISTIC   ,18-39,M  ,      6462
Atlanta      ,AUTISTIC   ,40-64,F  ,        94
Atlanta      ,AUTISTIC   ,40-64,M  ,       165
Atlanta      ,BLOOD      , <18 ,F  ,      2119
Atlanta      ,BLOOD      , <18 ,M  ,      2687
Atlanta      ,BLOOD      ,18-39,F  ,      2151
Atlanta      ,BLOOD      ,18-39,M  ,      2003
Atlanta      ,BLOOD      ,40-64,F  ,      1175
Atlanta      ,BLOOD      ,40-64,M  ,       588
Atlanta      ,CHILDHOOD  , <18 ,F  ,     13265
Atlanta      ,CHILDHOOD  , <18 ,M  ,     46847
Atlanta      ,CHILDHOOD  ,18-39,F  ,      2531
Atlanta      ,CHILDHOOD  ,18-39,M  ,      7798
Atlanta      ,CHILDHOOD  ,40-64,F  ,        93
Atlanta      ,CHILDHOOD  ,40-64,M  ,       115
Atlanta      ,CIRCUL     , <18 ,F  ,       826
Atlanta      ,CIRCUL     , <18 ,M  ,       969
Atlanta      ,CIRCUL     ,18-39,F  ,      2064
Atlanta      ,CIRCUL     ,18-39,M  ,      1967
Atlanta      ,CIRCUL     ,40-64,F  ,     23794
Atlanta      ,CIRCUL     ,40-64,M  ,     23754
Atlanta      ,CONGEN     , <18 ,F  ,      6783
Atlanta      ,CONGEN     , <18 ,M  ,      7945
Atlanta      ,CONGEN     ,18-39,F  ,      2998
Atlanta      ,CONGEN     ,18-39,M  ,      3046
Atlanta      ,CONGEN     ,40-64,F  ,       691
Atlanta      ,CONGEN     ,40-64,M  ,       510
Atlanta      ,DEVELOP    , <18 ,F  ,     17733
Atlanta      ,DEVELOP    , <18 ,M  ,     41076
Atlanta      ,DEVELOP    ,18-39,F  ,      1787
Atlanta      ,DEVELOP    ,18-39,M  ,      3078
Atlanta      ,DEVELOP    ,40-64,F  ,       212
Atlanta      ,DEVELOP    ,40-64,M  ,       214
Atlanta      ,DIGEST     , <18 ,F  ,      1502
Atlanta      ,DIGEST     , <18 ,M  ,      1892
Atlanta      ,DIGEST     ,18-39,F  ,      1052
Atlanta      ,DIGEST     ,18-39,M  ,       767
Atlanta      ,DIGEST     ,40-64,F  ,      4573
Atlanta      ,DIGEST     ,40-64,M  ,      4141
Atlanta      ,ENDOCR     , <18 ,F  ,       934
Atlanta      ,ENDOCR     , <18 ,M  ,       998
Atlanta      ,ENDOCR     ,18-39,F  ,      2927
Atlanta      ,ENDOCR     ,18-39,M  ,      1801
Atlanta      ,ENDOCR     ,40-64,F  ,     20691
Atlanta      ,ENDOCR     ,40-64,M  ,      6390
Atlanta      ,GENITO     , <18 ,F  ,       334
Atlanta      ,GENITO     , <18 ,M  ,       571
Atlanta      ,GENITO     ,18-39,F  ,      1773
Atlanta      ,GENITO     ,18-39,M  ,      1830
Atlanta      ,GENITO     ,40-64,F  ,      3862
Atlanta      ,GENITO     ,40-64,M  ,      3583
Atlanta      ,INFECT     , <18 ,F  ,       226
Atlanta      ,INFECT     , <18 ,M  ,       230
Atlanta      ,INFECT     ,18-39,F  ,      1418
Atlanta      ,INFECT     ,18-39,M  ,      1412
Atlanta      ,INFECT     ,40-64,F  ,      5829
Atlanta      ,INFECT     ,40-64,M  ,      6855
Atlanta      ,INJURY     , <18 ,F  ,       635
Atlanta      ,INJURY     , <18 ,M  ,       976
Atlanta      ,INJURY     ,18-39,F  ,      2890
Atlanta      ,INJURY     ,18-39,M  ,      5415
Atlanta      ,INJURY     ,40-64,F  ,      8331
Atlanta      ,INJURY     ,40-64,M  ,     12266
Atlanta      ,INTELLECT  , <18 ,F  ,     13131
Atlanta      ,INTELLECT  , <18 ,M  ,     22673
Atlanta      ,INTELLECT  ,18-39,F  ,     62400
Atlanta      ,INTELLECT  ,18-39,M  ,     70089
Atlanta      ,INTELLECT  ,40-64,F  ,     58011
Atlanta      ,INTELLECT  ,40-64,M  ,     47549
Atlanta      ,MENTALOTHER, <18 ,F  ,      2948
Atlanta      ,MENTALOTHER, <18 ,M  ,      5351
Atlanta      ,MENTALOTHER,18-39,F  ,      9552
Atlanta      ,MENTALOTHER,18-39,M  ,      8470
Atlanta      ,MENTALOTHER,40-64,F  ,     17801
Atlanta      ,MENTALOTHER,40-64,M  ,      8687
Atlanta      ,MOOD       , <18 ,F  ,      2526
Atlanta      ,MOOD       , <18 ,M  ,      4085
Atlanta      ,MOOD       ,18-39,F  ,     25814
Atlanta      ,MOOD       ,18-39,M  ,     13873
Atlanta      ,MOOD       ,40-64,F  ,     76140
Atlanta      ,MOOD       ,40-64,M  ,     21364
Atlanta      ,MUSCUL     , <18 ,F  ,      1111
Atlanta      ,MUSCUL     , <18 ,M  ,      1007
Atlanta      ,MUSCUL     ,18-39,F  ,      7079
Atlanta      ,MUSCUL     ,18-39,M  ,      3944
Atlanta      ,MUSCUL     ,40-64,F  ,     68106
Atlanta      ,MUSCUL     ,40-64,M  ,     39748
Atlanta      ,NEOPLA     , <18 ,F  ,      1554
Atlanta      ,NEOPLA     , <18 ,M  ,      1881
Atlanta      ,NEOPLA     ,18-39,F  ,      1439
